storyline_id,source_label,source_kind,source_port,source_group,source_index_group,choice_index,choice_text_zh,target_label,target_kind,target_port
storyline_001_2921e3d4be,012_052,PlayVideo_Ordinary,__endPoint,,-1,,,本章结束,EndPoint_ChapterReport,__entryPoint
storyline_001_2921e3d4be,"回宫计划
开始",EntryPoint_ChapterStart,__endPoint,,-1,,,012_001,PlayVideo_TraceBack,__entryPoint
storyline_001_2921e3d4be,CL020_012_004,ShowChoice,choiceEndPoint,choice,0,0,“其实……我怀了礼治的孩子！”,012_C020A_005,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL020_012_004,ShowChoice,choiceEndPoint,choice,1,1,“媚娘一定尽心跟随皇后”,B01_012_C020B_006,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,B01_012_C020B_006,PlayVideo_Ordinary,__endPoint,,-1,,,BE01,EndPoint_BadEnd,__entryPoint
storyline_001_2921e3d4be,IF之前选择讨回公道,Function_Storyline_If,endPointTrue,conditionGroup,0,,,012_013,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,IF之前选择讨回公道,Function_Storyline_If,endPointElse,,-1,,,012_014,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_013,PlayVideo_Ordinary,__endPoint,,-1,,,012_015,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_014,PlayVideo_Ordinary,__endPoint,,-1,,,012_015,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_015,PlayVideo_Ordinary,__endPoint,,-1,,,CL050_012_016,ShowChoice,__entryPoint
storyline_001_2921e3d4be,CL050_012_016,ShowChoice,choiceEndPoint,choice,0,0,和姐姐聊儿时算命趣事,012_C050A_017,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL050_012_016,ShowChoice,choiceEndPoint,choice,1,1,和姐姐聊儿时糗事,B05_012_C050B_018,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,CL050_012_016,ShowChoice,choiceEndPoint,choice,2,2,早点睡,B05_012_C050B_019,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_C050A_017,PlayVideo_Ordinary,__endPoint,,-1,,,012_020,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,B05_012_C050B_019,PlayVideo_Ordinary,__endPoint,,-1,,,012_020,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,B05_012_C050B_018,PlayVideo_Ordinary,__endPoint,,-1,,,012_020,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_020,PlayVideo_Ordinary,__endPoint,,-1,,,CL060_012_021,ShowChoice,__entryPoint
storyline_001_2921e3d4be,CL060_012_021,ShowChoice,choiceEndPoint,choice,0,0,"当机立断,将此事闹大",012_C060A_022,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_C060A_022,PlayVideo_Ordinary,__endPoint,,-1,,,B02_012_023,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,B02_012_023,PlayVideo_Ordinary,__endPoint,,-1,,,BE02,EndPoint_BadEnd,__entryPoint
storyline_001_2921e3d4be,CL060_012_021,ShowChoice,choiceEndPoint,choice,1,1,"按下不表,严查饭食",012_C060B_024,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_C060B_024,PlayVideo_Ordinary,__endPoint,,-1,,,CL070_012_025,ShowChoice,__entryPoint
storyline_001_2921e3d4be,CL070_012_025,ShowChoice,choiceEndPoint,choice,0,0,散播自己腹中骨肉是女孩,012_C070A_026,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_C070A_026,PlayVideo_Ordinary,__endPoint,,-1,,,B03_012_027,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,B03_012_027,PlayVideo_Ordinary,__endPoint,,-1,,,BE03,EndPoint_BadEnd,__entryPoint
storyline_001_2921e3d4be,CL070_012_025,ShowChoice,choiceEndPoint,choice,1,1,直接给自己下堕胎药,012_C070B_028,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_C070B_028,PlayVideo_Ordinary,__endPoint,,-1,,,CL080_012_029,ShowChoice,__entryPoint
storyline_001_2921e3d4be,CL080_012_029,ShowChoice,choiceEndPoint,choice,1,1,藏入皇后寝殿中,H04_012_C070B_031,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,012_032,PlayVideo_Ordinary,__endPoint,,-1,,,C090_012_033,ShowChoice,__entryPoint
storyline_001_2921e3d4be,C090_012_033,ShowChoice,choiceEndPoint,choice,0,0,任他被杖毙,B05_012_C090A_034,PlayVideo_Ordinary,__entryPoint
storyline_001_2921e3d4be,B05_012_C090A_034,PlayVideo_Ordinary,__endPoint,,-1,,,BE05,EndPoint_BadEnd,__entryPoint
storyline_001_2921e3d4be,C090_012_033,ShowChoice,choiceEndPoint,choice,1,1,保他,012_C090B_035,PlayVideo_Ordinary,__entryPoint
